July 6, 2026   18:32:49
Cyclic Voltammetry
File: cv2
Data Source:  Experiment
Instrument Model:  CHI760F
Header: 
Note: 

Init E (V) = 0
High E (V) = 0.7
Low E (V) = 0
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 2
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1

Results:

Channel 1:
Segment 1:
Ep = 0.315V
ip = 2.047e-6A
Ah = 1.181e-6C

Segment 2:

Potential/V	Current/A

0.000	-1.382e-5
0.001	-1.352e-5
0.002	-1.352e-5
0.003	-1.262e-5
0.004	-1.332e-5
0.005	-1.332e-5
0.006	-1.242e-5
0.007	-1.292e-5
0.008	-1.352e-5
0.009	-1.262e-5
0.010	-1.212e-5
0.011	-1.302e-5
0.012	-1.252e-5
0.013	-1.242e-5
0.014	-1.172e-5
0.015	-1.232e-5
0.016	-1.242e-5
0.017	-1.282e-5
0.018	-1.232e-5
0.019	-1.162e-5
0.020	-1.252e-5
0.021	-1.202e-5
0.022	-1.132e-5
0.023	-1.232e-5
0.024	-1.272e-5
0.025	-1.212e-5
0.026	-1.172e-5
0.027	-1.232e-5
0.028	-1.182e-5
0.029	-1.142e-5
0.030	-1.152e-5
0.031	-1.302e-5
0.032	-1.242e-5
0.033	-1.152e-5
0.034	-1.202e-5
0.035	-1.232e-5
0.036	-1.182e-5
0.037	-1.152e-5
0.038	-1.212e-5
0.039	-1.092e-5
0.040	-1.092e-5
0.041	-1.202e-5
0.042	-1.122e-5
0.043	-1.182e-5
0.044	-1.192e-5
0.045	-1.202e-5
0.046	-1.142e-5
0.047	-1.212e-5
0.048	-1.192e-5
0.049	-1.242e-5
0.050	-1.192e-5
0.051	-1.112e-5
0.052	-1.172e-5
0.053	-1.142e-5
0.054	-1.222e-5
0.055	-1.122e-5
0.056	-1.112e-5
0.057	-1.072e-5
0.058	-1.122e-5
0.059	-1.052e-5
0.060	-1.042e-5
0.061	-1.072e-5
0.062	-1.092e-5
0.063	-1.102e-5
0.064	-1.102e-5
0.065	-1.012e-5
0.066	-9.923e-6
0.067	-1.032e-5
0.068	-1.032e-5
0.069	-1.062e-5
0.070	-1.072e-5
0.071	-1.092e-5
0.072	-1.052e-5
0.073	-1.062e-5
0.074	-1.052e-5
0.075	-9.523e-6
0.076	-9.823e-6
0.077	-9.023e-6
0.078	-9.423e-6
0.079	-9.323e-6
0.080	-9.923e-6
0.081	-1.012e-5
0.082	-9.523e-6
0.083	-9.523e-6
0.084	-9.823e-6
0.085	-8.723e-6
0.086	-9.323e-6
0.087	-9.023e-6
0.088	-9.123e-6
0.089	-9.323e-6
0.090	-9.523e-6
0.091	-8.623e-6
0.092	-8.923e-6
0.093	-9.023e-6
0.094	-9.023e-6
0.095	-9.023e-6
0.096	-8.823e-6
0.097	-9.323e-6
0.098	-8.523e-6
0.099	-8.523e-6
0.100	-9.023e-6
0.101	-9.123e-6
0.102	-9.623e-6
0.103	-8.523e-6
0.104	-9.123e-6
0.105	-8.923e-6
0.106	-8.623e-6
0.107	-8.123e-6
0.108	-9.023e-6
0.109	-8.023e-6
0.110	-7.823e-6
0.111	-7.623e-6
0.112	-7.923e-6
0.113	-8.223e-6
0.114	-8.323e-6
0.115	-7.923e-6
0.116	-8.123e-6
0.117	-8.123e-6
0.118	-7.424e-6
0.119	-8.623e-6
0.120	-7.524e-6
0.121	-7.124e-6
0.122	-6.824e-6
0.123	-7.224e-6
0.124	-7.524e-6
0.125	-8.223e-6
0.126	-7.923e-6
0.127	-7.224e-6
0.128	-7.823e-6
0.129	-6.824e-6
0.130	-7.324e-6
0.131	-6.624e-6
0.132	-6.524e-6
0.133	-6.524e-6
0.134	-6.224e-6
0.135	-7.124e-6
0.136	-5.924e-6
0.137	-7.124e-6
0.138	-7.224e-6
0.139	-6.824e-6
0.140	-6.324e-6
0.141	-5.324e-6
0.142	-6.124e-6
0.143	-5.624e-6
0.144	-5.324e-6
0.145	-6.124e-6
0.146	-6.424e-6
0.147	-5.324e-6
0.148	-5.524e-6
0.149	-5.324e-6
0.150	-5.024e-6
0.151	-5.624e-6
0.152	-4.524e-6
0.153	-5.824e-6
0.154	-5.224e-6
0.155	-5.324e-6
0.156	-5.124e-6
0.157	-5.224e-6
0.158	-5.124e-6
0.159	-4.924e-6
0.160	-4.424e-6
0.161	-4.824e-6
0.162	-4.824e-6
0.163	-5.124e-6
0.164	-4.924e-6
0.165	-4.624e-6
0.166	-3.824e-6
0.167	-5.124e-6
0.168	-4.424e-6
0.169	-4.024e-6
0.170	-3.724e-6
0.171	-3.924e-6
0.172	-5.024e-6
0.173	-3.824e-6
0.174	-3.224e-6
0.175	-3.524e-6
0.176	-2.724e-6
0.177	-2.525e-6
0.178	-3.324e-6
0.179	-3.324e-6
0.180	-2.824e-6
0.181	-3.424e-6
0.182	-3.124e-6
0.183	-2.924e-6
0.184	-3.224e-6
0.185	-4.124e-6
0.186	-2.724e-6
0.187	-3.524e-6
0.188	-2.924e-6
0.189	-3.324e-6
0.190	-2.924e-6
0.191	-2.025e-6
0.192	-2.525e-6
0.193	-2.924e-6
0.194	-2.924e-6
0.195	-1.925e-6
0.196	-2.325e-6
0.197	-2.525e-6
0.198	-1.525e-6
0.199	-2.025e-6
0.200	-1.825e-6
0.201	-2.724e-6
0.202	-2.525e-6
0.203	-2.624e-6
0.204	-2.624e-6
0.205	-2.525e-6
0.206	-2.924e-6
0.207	-2.125e-6
0.208	-2.325e-6
0.209	-2.425e-6
0.210	-1.725e-6
0.211	-1.025e-6
0.212	-1.925e-6
0.213	-2.525e-6
0.214	-2.525e-6
0.215	-1.525e-6
0.216	-2.025e-6
0.217	-1.425e-6
0.218	-1.825e-6
0.219	-1.625e-6
0.220	-1.725e-6
0.221	-1.425e-6
0.222	-1.925e-6
0.223	-7.249e-7
0.224	-8.248e-7
0.225	-7.249e-7
0.226	-5.249e-7
0.227	-6.249e-7
0.228	-1.250e-7
0.229	-7.249e-7
0.230	-2.250e-7
0.231	1.750e-7
0.232	1.175e-6
0.233	5.749e-7
0.234	8.748e-7
0.235	3.749e-7
0.236	1.175e-6
0.237	6.749e-7
0.238	1.075e-6
0.239	1.275e-6
0.240	1.375e-6
0.241	1.075e-6
0.242	5.749e-7
0.243	3.749e-7
0.244	7.499e-8
0.245	7.499e-8
0.246	-6.249e-7
0.247	-4.249e-7
0.248	6.749e-7
0.249	1.075e-6
0.250	3.749e-7
0.251	6.749e-7
0.252	7.748e-7
0.253	6.749e-7
0.254	1.775e-6
0.255	1.375e-6
0.256	2.749e-7
0.257	9.748e-7
0.258	2.175e-6
0.259	1.575e-6
0.260	1.975e-6
0.261	1.475e-6
0.262	1.975e-6
0.263	2.275e-6
0.264	2.774e-6
0.265	1.975e-6
0.266	2.175e-6
0.267	2.075e-6
0.268	1.175e-6
0.269	1.975e-6
0.270	1.875e-6
0.271	1.775e-6
0.272	1.475e-6
0.273	1.675e-6
0.274	2.674e-6
0.275	2.275e-6
0.276	1.975e-6
0.277	2.275e-6
0.278	1.375e-6
0.279	2.275e-6
0.280	2.674e-6
0.281	2.674e-6
0.282	2.475e-6
0.283	2.574e-6
0.284	2.674e-6
0.285	1.475e-6
0.286	2.674e-6
0.287	2.475e-6
0.288	3.274e-6
0.289	3.174e-6
0.290	3.074e-6
0.291	3.474e-6
0.292	2.974e-6
