dataset_id,candidate_id,condition_id,parameter,direction_cosine,stable
FT2,289,candidate_10hz_matched_scan,k0_1,0.9978870401337046,True
FT2,289,candidate_10hz_matched_scan,k0_2,0.9999889817257597,True
FT2,289,candidate_10hz_matched_scan,k0_3,0.9999998782338461,True
FT2,289,candidate_10hz_matched_scan,G_OH,0.9877889694912576,True
FT2,289,candidate_10hz_matched_scan,G_O,0.9995824629469366,True
FT2,289,candidate_5hz_amp_008,k0_1,0.9992096855720252,True
FT2,289,candidate_5hz_amp_008,k0_2,0.9225279132477391,True
FT2,289,candidate_5hz_amp_008,k0_3,0.999983811587035,True
FT2,289,candidate_5hz_amp_008,G_OH,0.987741268564273,True
FT2,289,candidate_5hz_amp_008,G_O,0.9982990447894532,True
FT3,484,candidate_10hz_matched_scan,k0_1,0.9979856390919277,True
FT3,484,candidate_10hz_matched_scan,k0_2,0.9999086714710028,True
FT3,484,candidate_10hz_matched_scan,k0_3,0.9999718311810081,True
FT3,484,candidate_10hz_matched_scan,G_OH,0.9989839004382889,True
FT3,484,candidate_10hz_matched_scan,G_O,0.9928963516227193,True
FT3,484,candidate_5hz_amp_008,k0_1,0.9993842265858441,True
FT3,484,candidate_5hz_amp_008,k0_2,0.9999422461174544,True
FT3,484,candidate_5hz_amp_008,k0_3,0.999958289719136,True
FT3,484,candidate_5hz_amp_008,G_OH,0.9989485533792443,True
FT3,484,candidate_5hz_amp_008,G_O,0.9990773239681737,True
FT4,249,candidate_10hz_matched_scan,k0_1,0.9999796323590869,True
FT4,249,candidate_10hz_matched_scan,k0_2,0.9998529928657885,True
FT4,249,candidate_10hz_matched_scan,k0_3,0.9988606569195386,True
FT4,249,candidate_10hz_matched_scan,G_OH,0.9992331252226729,True
FT4,249,candidate_10hz_matched_scan,G_O,0.9986042848642068,True
FT4,249,candidate_5hz_amp_008,k0_1,0.9994412783398108,True
FT4,249,candidate_5hz_amp_008,k0_2,0.9999165776949795,True
FT4,249,candidate_5hz_amp_008,k0_3,0.9999325241322429,True
FT4,249,candidate_5hz_amp_008,G_OH,0.9942619355897113,True
FT4,249,candidate_5hz_amp_008,G_O,0.9993094595157269,True
FT8,226,candidate_10hz_matched_scan,k0_1,0.9920401630787876,True
FT8,226,candidate_10hz_matched_scan,k0_2,0.9999078966247431,True
FT8,226,candidate_10hz_matched_scan,k0_3,0.9999302250361048,True
FT8,226,candidate_10hz_matched_scan,G_OH,0.9599203415250279,True
FT8,226,candidate_10hz_matched_scan,G_O,0.9993521315352231,True
FT8,226,candidate_5hz_amp_008,k0_1,0.9990241376762594,True
FT8,226,candidate_5hz_amp_008,k0_2,0.999869432470199,True
FT8,226,candidate_5hz_amp_008,k0_3,0.9999721372308347,True
FT8,226,candidate_5hz_amp_008,G_OH,0.9933633424130937,True
FT8,226,candidate_5hz_amp_008,G_O,0.9994450358157082,True
