parameter,classification,sensitivity_norm,max_correlation
k0_1,identifiable,1.5123419148020958,0.6865547311293946
k0_2,identifiable,0.05307819196737469,0.9293544625483096
k0_3,coupled,19.549282518493136,0.9992477523323685
k0_4,identifiable,0.0006283503982184683,0.08965965190864983
k0_pre,identifiable,8.885719048776581,0.6865547311293946
gamma,identifiable,78.54857331241017,0.9527413181759568
G_OH,identifiable,324.30946288783497,0.8711436693564961
G_O,identifiable,143.57511716509526,0.6984071599750262
scaling_OOH_OH,coupled,163.72521152781576,0.9992477523323685
E0_pre,identifiable,355.8920124126045,0.8711436693564961
Cdl,identifiable,6387.435222019546,0.6678269607910756
Ru,identifiable,6.314994339205498,0.9293544625483096
A,identifiable,36.231863013706274,0.9527413181759568
