feature,k0_1,k0_2,k0_3,k0_4,k0_pre,gamma,G_OH,G_O,scaling_OOH_OH,E0_pre,Cdl,Ru,A
DC shape[0],0.0005793557992111309,-1.0781370628127233e-06,-0.00034215631564543284,-5.81630766008141e-07,-0.00035387996644840864,0.000509126647005516,4.4556962137754455e-05,-0.0014258044069972006,0.0029614205509017714,0.0010500159926731772,0.0027903501289311904,-0.0003061831446812664,0.010334092659521605
DC shape[1],0.001064817365363662,-3.315706218181694e-07,-0.00024244943251495202,3.1425040549088814e-07,0.002503240145914455,0.0020644036839973846,0.0037842707397789223,-0.001006998653584941,0.0021046691774136584,0.0072988219075007755,-3.354500793596611,7.284813113910524e-05,-0.005565649183571013
DC shape[2],-0.0009885923404617202,5.801875537831394e-08,-7.384360634728052e-05,2.656081616529603e-07,-0.0008322136167773614,-0.001846214893291966,-0.0023716795297099146,-0.0003134731200284597,0.0006315095769015054,-0.014189190834503014,4.549750164726072,0.0005203211781246314,0.004142540526771278
DC shape[3],-0.0008045756384194244,-1.1643708134192878e-06,-0.00038790712502515657,-4.894593412818461e-08,-0.0036883368954045404,0.004445777531481468,-0.0005784783445614742,-0.0016234146653771155,0.003354846753092168,-0.007096075287124794,3.9852972602193883,-6.641136936224915e-05,0.012106733978043314
DC shape[4],0.0032681572393386316,-1.5705366900466744e-06,-0.0004653321561781874,-2.1445330135412857e-07,0.0016245007565336964,0.003621018792437934,0.008417775481355165,-0.0019331384210721067,0.004034986412030098,-0.015706064321772097,-9.378419092519636,0.00020875197445392168,-0.016810315189959166
DC shape[5],0.0003052366330116589,-8.707900292101549e-07,-0.0002955846542152992,4.396227882068814e-08,-0.0003739044093701128,0.003261058450599523,0.003978676418537913,-0.00123033261659603,0.002554992545604071,0.022246658433935373,0.5953086708059133,-0.0003403009464179804,0.010579871887440487
DC shape[6],0.0006850151272352515,-5.543169417974039e-07,-0.0002778878082653788,3.1276069661162363e-07,0.0023514093909762107,0.002394302223102524,0.0013855095977482817,-0.0011493781740401381,0.0024071350010731307,0.01198894865890129,-1.7784821624819298,0.00012123269734090142,-0.0032764306488950617
DC shape[7],0.0004368341576295433,-4.2135356656961455e-08,-4.762742576108669e-05,-9.84102450649548e-08,-0.00031184921751387356,-0.0021015182646213566,-0.00019004514777136637,-0.0001896424846719183,0.00042016575171936006,-0.026555775931991793,-3.696901000629421,0.00026059087075238496,-0.0028191036829715273
DC shape[8],-0.0011019140325333899,-1.3147922379416995e-06,-0.0002513834710271912,-1.8510516727152452e-07,-0.004666412162833948,0.002084921055740641,0.0008345627546435615,-0.0010555557335430268,0.0021693487067167908,0.0011491690219120124,4.12126790753713,0.0002022714991915179,0.011697326790029048
DC shape[9],0.0015451559889656241,-1.5469948564676517e-06,-0.0006024358301828973,3.704991300411429e-07,0.0016013407883366587,0.006701443449057979,0.011006540257378395,-0.002544408236786894,0.005223168183077873,-0.018299502809753884,-0.6543810766163246,0.00027495405488451343,-0.00022482438222899727
DC shape[10],-0.0015495816874169308,-5.290149694468515e-07,-0.0001420925377680427,-1.5280461530014303e-08,0.001527367729567924,0.0033235706677852226,0.004323650322510306,-0.0005646474478997338,0.001218244211308549,0.00754317176732188,9.13036422109264,-0.00019005623953639774,0.00679108655054093
DC shape[11],0.0008330057706133304,-1.054801602280973e-06,-0.00032542205989140956,-5.346591666722603e-07,0.0013735971228535314,0.003296709082077817,0.0053163430452892535,-0.001338865217659178,0.002825261778120623,0.021685163235375907,-1.745598153157097,-0.0001431161935907396,-0.000876498124428392
DC shape[12],0.0014594580683358438,-2.6727686975762006e-07,-0.0001424036662411499,5.442037936153392e-07,0.0011538946500250923,-0.0012147174901833298,0.004802345983351999,-0.0005560126959041376,0.0012383706399266277,-0.03579359419803297,-5.332144280178577,0.00013480509785265113,-0.008512161850906466
DC shape[13],-0.0010939159859049623,-5.625668001261234e-07,-0.0001679341575876514,4.2170752924119265e-07,-0.0039014301280213405,0.001472674640015766,-0.0011499489012298865,-0.0008030109052764923,0.0014450310967486616,0.012071083265026426,4.674949777536452,0.0004274287502692446,0.012036357238606374
DC shape[14],0.001128203130592895,-1.318087491262626e-06,-0.0005622209370178699,-3.6781648993565916e-07,0.00203082153206935,0.00458346387196402,0.017617772645815537,-0.0024898461830535267,0.0048577834053472446,-0.010763266425757721,-1.0569190039296565,0.0003691518528291923,0.003526303856121399
DC shape[15],0.00043039496487058383,-3.624033067287127e-08,-1.0175791008412413e-05,-3.818075351263135e-08,0.0018894445627723562,0.0022421286858427345,-0.002911548526524083,-3.129362987803869e-05,8.687063303072074e-05,0.0029090068798899114,3.6896513136714204,-3.8781514990730636e-05,-0.004830213812190778
