parameter,classification,sensitivity_norm,max_correlation
k0_1,coupled,0.38500818773187473,0.9880665153982588
k0_2,identifiable,0.026963417828431382,0.9250515087993565
k0_3,coupled,9.912581189574716,0.9999991445698412
k0_4,identifiable,7.001776388453853e-05,0.9136433352638955
k0_pre,coupled,2.8424536178856807,0.9880665153982588
gamma,coupled,11.236918049737472,0.995121430377021
G_OH,coupled,55.03558567430844,0.9847921924878216
G_O,coupled,48.96452606459583,0.9847921924878216
scaling_OOH_OH,coupled,83.9821225160456,0.9999991445698412
E0_pre,identifiable,31.486071668919777,0.9502159364409877
Cdl,identifiable,2055.121889223658,0.8131320272216286
Ru,identifiable,2.8069501190298185,0.9615901723530149
A,coupled,5.081547365237873,0.995121430377021
