parameter,classification,sensitivity_norm,max_correlation
k0_1,identifiable,0.6758022568896123,0.81789266232621
k0_2,identifiable,0.03127129328475056,0.8143589430451628
k0_3,coupled,10.707744809671551,0.9999502247520793
k0_4,identifiable,0.0001525541550337184,0.506010819030511
k0_pre,identifiable,5.813253463725445,0.81789266232621
gamma,coupled,18.906383303595483,0.9895375383963649
G_OH,identifiable,94.37683822680081,0.7349579407367508
G_O,identifiable,74.15394384828906,0.7349579407367508
scaling_OOH_OH,coupled,90.64093087810987,0.9999502247520793
E0_pre,identifiable,75.09955142131837,0.5773007323524196
Cdl,identifiable,5479.451998587088,0.5944179808940844
Ru,identifiable,2.9808292666725107,0.8405068765904807
A,coupled,8.424763759060145,0.9895375383963649
