parameter,classification,sensitivity_norm,max_correlation
k0_1,identifiable,0.557983016480631,0.7544040669099743
k0_2,identifiable,0.02984248640998516,0.8784301357948686
k0_3,coupled,10.687032561651584,0.9999503209854258
k0_4,identifiable,0.0001375718577871341,0.3890694110021071
k0_pre,identifiable,5.071622642906147,0.7544040669099743
gamma,coupled,18.144758718467603,0.9895322943668068
G_OH,identifiable,81.25346509320511,0.6394764632439602
G_O,identifiable,61.84569343153337,0.6394764632439602
scaling_OOH_OH,coupled,90.46526727523697,0.9999503209854258
E0_pre,identifiable,68.18369710069747,0.47309551650892523
Cdl,identifiable,5083.542475437038,0.6052910050357183
Ru,identifiable,2.949202089258119,0.8784301357948686
A,coupled,7.980604307335997,0.9895322943668068
