feature,parameter,sensitivity,abs_sensitivity,direction
DC shape[0],k0_1,0.0005793557992111309,0.0005793557992111309,positive
DC shape[0],k0_2,-1.0781370628127233e-06,1.0781370628127233e-06,negative
DC shape[0],k0_3,-0.00034215631564543284,0.00034215631564543284,negative
DC shape[0],k0_4,-5.81630766008141e-07,5.81630766008141e-07,negative
DC shape[0],k0_pre,-0.00035387996644840864,0.00035387996644840864,negative
DC shape[0],gamma,0.000509126647005516,0.000509126647005516,positive
DC shape[0],G_OH,4.4556962137754455e-05,4.4556962137754455e-05,positive
DC shape[0],G_O,-0.0014258044069972006,0.0014258044069972006,negative
DC shape[0],scaling_OOH_OH,0.0029614205509017714,0.0029614205509017714,positive
DC shape[0],E0_pre,0.0010500159926731772,0.0010500159926731772,positive
DC shape[0],Cdl,0.0027903501289311904,0.0027903501289311904,positive
DC shape[0],Ru,-0.0003061831446812664,0.0003061831446812664,negative
DC shape[0],A,0.010334092659521605,0.010334092659521605,positive
DC shape[1],k0_1,0.001064817365363662,0.001064817365363662,positive
DC shape[1],k0_2,-3.315706218181694e-07,3.315706218181694e-07,negative
DC shape[1],k0_3,-0.00024244943251495202,0.00024244943251495202,negative
DC shape[1],k0_4,3.1425040549088814e-07,3.1425040549088814e-07,positive
DC shape[1],k0_pre,0.002503240145914455,0.002503240145914455,positive
DC shape[1],gamma,0.0020644036839973846,0.0020644036839973846,positive
DC shape[1],G_OH,0.0037842707397789223,0.0037842707397789223,positive
DC shape[1],G_O,-0.001006998653584941,0.001006998653584941,negative
DC shape[1],scaling_OOH_OH,0.0021046691774136584,0.0021046691774136584,positive
DC shape[1],E0_pre,0.0072988219075007755,0.0072988219075007755,positive
DC shape[1],Cdl,-3.354500793596611,3.354500793596611,negative
DC shape[1],Ru,7.284813113910524e-05,7.284813113910524e-05,positive
DC shape[1],A,-0.005565649183571013,0.005565649183571013,negative
DC shape[2],k0_1,-0.0009885923404617202,0.0009885923404617202,negative
DC shape[2],k0_2,5.801875537831394e-08,5.801875537831394e-08,positive
DC shape[2],k0_3,-7.384360634728052e-05,7.384360634728052e-05,negative
DC shape[2],k0_4,2.656081616529603e-07,2.656081616529603e-07,positive
DC shape[2],k0_pre,-0.0008322136167773614,0.0008322136167773614,negative
DC shape[2],gamma,-0.001846214893291966,0.001846214893291966,negative
DC shape[2],G_OH,-0.0023716795297099146,0.0023716795297099146,negative
DC shape[2],G_O,-0.0003134731200284597,0.0003134731200284597,negative
DC shape[2],scaling_OOH_OH,0.0006315095769015054,0.0006315095769015054,positive
DC shape[2],E0_pre,-0.014189190834503014,0.014189190834503014,negative
DC shape[2],Cdl,4.549750164726072,4.549750164726072,positive
DC shape[2],Ru,0.0005203211781246314,0.0005203211781246314,positive
DC shape[2],A,0.004142540526771278,0.004142540526771278,positive
DC shape[3],k0_1,-0.0008045756384194244,0.0008045756384194244,negative
DC shape[3],k0_2,-1.1643708134192878e-06,1.1643708134192878e-06,negative
DC shape[3],k0_3,-0.00038790712502515657,0.00038790712502515657,negative
DC shape[3],k0_4,-4.894593412818461e-08,4.894593412818461e-08,negative
DC shape[3],k0_pre,-0.0036883368954045404,0.0036883368954045404,negative
DC shape[3],gamma,0.004445777531481468,0.004445777531481468,positive
DC shape[3],G_OH,-0.0005784783445614742,0.0005784783445614742,negative
DC shape[3],G_O,-0.0016234146653771155,0.0016234146653771155,negative
DC shape[3],scaling_OOH_OH,0.003354846753092168,0.003354846753092168,positive
DC shape[3],E0_pre,-0.007096075287124794,0.007096075287124794,negative
DC shape[3],Cdl,3.9852972602193883,3.9852972602193883,positive
DC shape[3],Ru,-6.641136936224915e-05,6.641136936224915e-05,negative
DC shape[3],A,0.012106733978043314,0.012106733978043314,positive
DC shape[4],k0_1,0.0032681572393386316,0.0032681572393386316,positive
DC shape[4],k0_2,-1.5705366900466744e-06,1.5705366900466744e-06,negative
DC shape[4],k0_3,-0.0004653321561781874,0.0004653321561781874,negative
DC shape[4],k0_4,-2.1445330135412857e-07,2.1445330135412857e-07,negative
DC shape[4],k0_pre,0.0016245007565336964,0.0016245007565336964,positive
DC shape[4],gamma,0.003621018792437934,0.003621018792437934,positive
DC shape[4],G_OH,0.008417775481355165,0.008417775481355165,positive
DC shape[4],G_O,-0.0019331384210721067,0.0019331384210721067,negative
DC shape[4],scaling_OOH_OH,0.004034986412030098,0.004034986412030098,positive
DC shape[4],E0_pre,-0.015706064321772097,0.015706064321772097,negative
DC shape[4],Cdl,-9.378419092519636,9.378419092519636,negative
DC shape[4],Ru,0.00020875197445392168,0.00020875197445392168,positive
DC shape[4],A,-0.016810315189959166,0.016810315189959166,negative
DC shape[5],k0_1,0.0003052366330116589,0.0003052366330116589,positive
DC shape[5],k0_2,-8.707900292101549e-07,8.707900292101549e-07,negative
DC shape[5],k0_3,-0.0002955846542152992,0.0002955846542152992,negative
DC shape[5],k0_4,4.396227882068814e-08,4.396227882068814e-08,positive
DC shape[5],k0_pre,-0.0003739044093701128,0.0003739044093701128,negative
DC shape[5],gamma,0.003261058450599523,0.003261058450599523,positive
DC shape[5],G_OH,0.003978676418537913,0.003978676418537913,positive
DC shape[5],G_O,-0.00123033261659603,0.00123033261659603,negative
DC shape[5],scaling_OOH_OH,0.002554992545604071,0.002554992545604071,positive
DC shape[5],E0_pre,0.022246658433935373,0.022246658433935373,positive
DC shape[5],Cdl,0.5953086708059133,0.5953086708059133,positive
DC shape[5],Ru,-0.0003403009464179804,0.0003403009464179804,negative
DC shape[5],A,0.010579871887440487,0.010579871887440487,positive
DC shape[6],k0_1,0.0006850151272352515,0.0006850151272352515,positive
DC shape[6],k0_2,-5.543169417974039e-07,5.543169417974039e-07,negative
DC shape[6],k0_3,-0.0002778878082653788,0.0002778878082653788,negative
DC shape[6],k0_4,3.1276069661162363e-07,3.1276069661162363e-07,positive
DC shape[6],k0_pre,0.0023514093909762107,0.0023514093909762107,positive
DC shape[6],gamma,0.002394302223102524,0.002394302223102524,positive
DC shape[6],G_OH,0.0013855095977482817,0.0013855095977482817,positive
DC shape[6],G_O,-0.0011493781740401381,0.0011493781740401381,negative
DC shape[6],scaling_OOH_OH,0.0024071350010731307,0.0024071350010731307,positive
DC shape[6],E0_pre,0.01198894865890129,0.01198894865890129,positive
DC shape[6],Cdl,-1.7784821624819298,1.7784821624819298,negative
DC shape[6],Ru,0.00012123269734090142,0.00012123269734090142,positive
DC shape[6],A,-0.0032764306488950617,0.0032764306488950617,negative
DC shape[7],k0_1,0.0004368341576295433,0.0004368341576295433,positive
DC shape[7],k0_2,-4.2135356656961455e-08,4.2135356656961455e-08,negative
DC shape[7],k0_3,-4.762742576108669e-05,4.762742576108669e-05,negative
DC shape[7],k0_4,-9.84102450649548e-08,9.84102450649548e-08,negative
DC shape[7],k0_pre,-0.00031184921751387356,0.00031184921751387356,negative
DC shape[7],gamma,-0.0021015182646213566,0.0021015182646213566,negative
DC shape[7],G_OH,-0.00019004514777136637,0.00019004514777136637,negative
DC shape[7],G_O,-0.0001896424846719183,0.0001896424846719183,negative
DC shape[7],scaling_OOH_OH,0.00042016575171936006,0.00042016575171936006,positive
DC shape[7],E0_pre,-0.026555775931991793,0.026555775931991793,negative
DC shape[7],Cdl,-3.696901000629421,3.696901000629421,negative
DC shape[7],Ru,0.00026059087075238496,0.00026059087075238496,positive
DC shape[7],A,-0.0028191036829715273,0.0028191036829715273,negative
DC shape[8],k0_1,-0.0011019140325333899,0.0011019140325333899,negative
DC shape[8],k0_2,-1.3147922379416995e-06,1.3147922379416995e-06,negative
DC shape[8],k0_3,-0.0002513834710271912,0.0002513834710271912,negative
DC shape[8],k0_4,-1.8510516727152452e-07,1.8510516727152452e-07,negative
DC shape[8],k0_pre,-0.004666412162833948,0.004666412162833948,negative
DC shape[8],gamma,0.002084921055740641,0.002084921055740641,positive
DC shape[8],G_OH,0.0008345627546435615,0.0008345627546435615,positive
DC shape[8],G_O,-0.0010555557335430268,0.0010555557335430268,negative
DC shape[8],scaling_OOH_OH,0.0021693487067167908,0.0021693487067167908,positive
DC shape[8],E0_pre,0.0011491690219120124,0.0011491690219120124,positive
DC shape[8],Cdl,4.12126790753713,4.12126790753713,positive
DC shape[8],Ru,0.0002022714991915179,0.0002022714991915179,positive
DC shape[8],A,0.011697326790029048,0.011697326790029048,positive
DC shape[9],k0_1,0.0015451559889656241,0.0015451559889656241,positive
DC shape[9],k0_2,-1.5469948564676517e-06,1.5469948564676517e-06,negative
DC shape[9],k0_3,-0.0006024358301828973,0.0006024358301828973,negative
DC shape[9],k0_4,3.704991300411429e-07,3.704991300411429e-07,positive
DC shape[9],k0_pre,0.0016013407883366587,0.0016013407883366587,positive
DC shape[9],gamma,0.006701443449057979,0.006701443449057979,positive
