dataset_id,channel,segment,ensemble_size,valid_candidate_count,signed_mean_median,signed_mean_q25,signed_mean_q75,positive_count,negative_count,direction_class,nearest_candidate_id,nearest_signed_mean,nearest_within_iqr
FT2,dc,high,12,12,0.3264931458453495,-0.0033915967580891992,0.6035290637395423,9,3,ensemble sign-consistent,289,0.21296887288218008,True
FT2,dc,low,12,12,-0.1940999933726777,-0.41931504192225294,-0.02889842159385311,2,10,ensemble sign-consistent,289,-0.03376779075190718,True
FT2,dc,mid,12,12,0.008306013440405303,-0.06408199087069345,0.06487395714580903,6,6,candidate-dependent,289,0.06408926735102777,True
FT2,global_amplitude_h1,global,12,12,0.84871513114927,0.739165335653855,0.8717888813838611,12,0,ensemble sign-consistent,289,0.8740837236939304,False
FT2,global_amplitude_h2,global,12,12,0.8551474696622745,0.44500323458746716,0.9699294813598229,12,0,ensemble sign-consistent,289,0.9984047901252328,False
FT2,global_amplitude_h3,global,12,12,0.5317508497742718,-0.8012407225658968,0.8740877740911456,8,4,candidate-dependent,289,0.9929881901475602,False
FT2,global_phase_h1,global,12,12,-0.2896734320346402,-0.48089113741185924,-0.18285992848488852,2,10,ensemble sign-consistent,289,-0.5261335064506392,False
FT2,global_phase_h2,global,12,12,-0.09752145837824798,-0.3340181410003985,0.5414370800136822,5,7,candidate-dependent,289,0.533964995590233,True
FT2,global_phase_h3,global,12,12,-1.6197861928774424,-1.8677084434395195,-1.428004974434431,2,10,ensemble sign-consistent,289,-1.5124721089260418,True
FT2,lockin_amplitude_h1,high,12,0,,,,0,0,not-observable,289,,
FT2,lockin_amplitude_h1,low,12,0,,,,0,0,not-observable,289,,
FT2,lockin_amplitude_h1,mid,12,12,0.614734483369014,0.5409244245067928,0.6192382010448498,12,0,ensemble sign-consistent,289,0.6192379028047991,True
FT2,lockin_amplitude_h2,high,12,0,,,,0,0,not-observable,289,,
FT2,lockin_amplitude_h2,low,12,0,,,,0,0,not-observable,289,,
FT2,lockin_amplitude_h2,mid,12,12,0.4535567006276615,0.2554737444780778,0.4830837225525338,12,0,ensemble sign-consistent,289,0.4830537218720731,True
FT2,lockin_amplitude_h3,high,12,0,,,,0,0,not-observable,289,,
FT2,lockin_amplitude_h3,low,12,0,,,,0,0,not-observable,289,,
