dataset_id,scenario_id,parameter,metric,n_anchors,median_delta,positive_count,negative_count,direction_stable,effect
FT2,A:x0.5,A,dc_nrmse,8,-0.0033709094221031632,3,5,False,unstable
FT2,A:x0.5,A,global_amplitude_h1,8,0.06713650709104496,8,0,True,higher_error
FT2,A:x0.5,A,global_amplitude_h2,8,0.013738298060545384,8,0,True,higher_error
FT2,A:x0.5,A,global_amplitude_h3,8,0.003197714315163469,7,1,True,higher_error
FT2,A:x0.5,A,global_phase_h1,8,0.0033178894589053765,7,1,True,higher_error
FT2,A:x0.5,A,global_phase_h2,8,-0.003611761188474734,4,4,False,unstable
FT2,A:x0.5,A,global_phase_h3,8,0.013914841949467682,6,2,True,higher_error
FT2,A:x0.5,A,lockin_amplitude_h1,8,0.04429701355141191,8,0,True,higher_error
FT2,A:x0.5,A,lockin_amplitude_h2,8,0.004902193906141938,8,0,True,higher_error
FT2,A:x0.5,A,lockin_amplitude_h3,8,0.0019513647515995713,8,0,True,higher_error
FT2,A:x0.5,A,lockin_peak_shift_h1,8,0.0,0,0,False,unstable
FT2,A:x0.5,A,lockin_peak_shift_h2,8,0.0,0,0,False,unstable
FT2,A:x0.5,A,lockin_peak_shift_h3,8,0.0,0,1,False,unstable
FT2,A:x0.5,A,lockin_phase_h1,8,0.003033024289455899,8,0,True,higher_error
FT2,A:x0.5,A,lockin_phase_h2,8,0.007804283616653751,5,3,False,unstable
FT2,A:x0.5,A,lockin_phase_h3,8,0.027066714393246927,7,1,True,higher_error
FT2,A:x0.5,A,lockin_valid_fraction,8,0.0,0,0,False,unstable
FT2,A:x0.5,A,score,8,0.11667136071913653,6,2,True,higher_error
FT2,A:x2,A,dc_nrmse,8,0.008181145894909302,5,3,False,unstable
FT2,A:x2,A,global_amplitude_h1,8,-0.13369660016382195,0,8,True,lower_error
FT2,A:x2,A,global_amplitude_h2,8,-0.0017798887470670266,1,7,True,lower_error
FT2,A:x2,A,global_amplitude_h3,8,-0.0040516025104966324,3,5,False,unstable
FT2,A:x2,A,global_phase_h1,8,-0.006842798569364983,1,7,True,lower_error
FT2,A:x2,A,global_phase_h2,8,0.022081444034492748,6,2,True,higher_error
FT2,A:x2,A,global_phase_h3,8,-0.03848034217454821,2,6,True,lower_error
FT2,A:x2,A,lockin_amplitude_h1,8,-0.08643115585563577,1,7,True,lower_error
FT2,A:x2,A,lockin_amplitude_h2,8,-0.0006851083110772094,1,7,True,lower_error
FT2,A:x2,A,lockin_amplitude_h3,8,-0.0005203573988932786,1,7,True,lower_error
FT2,A:x2,A,lockin_peak_shift_h1,8,0.0,0,0,False,unstable
FT2,A:x2,A,lockin_peak_shift_h2,8,0.0,0,0,False,unstable
FT2,A:x2,A,lockin_peak_shift_h3,8,0.0,0,0,False,unstable
FT2,A:x2,A,lockin_phase_h1,8,-0.0060554109787734345,0,8,True,lower_error
FT2,A:x2,A,lockin_phase_h2,8,-0.022065251098159433,2,6,True,lower_error
FT2,A:x2,A,lockin_phase_h3,8,-0.03828872464689048,1,7,True,lower_error
FT2,A:x2,A,lockin_valid_fraction,8,0.0,0,0,False,unstable
FT2,A:x2,A,score,8,-0.18696084503179744,2,6,True,lower_error
FT2,Cdl:x0.5,Cdl,dc_nrmse,8,0.00037841268649518867,7,1,True,higher_error
FT2,Cdl:x0.5,Cdl,global_amplitude_h1,8,0.06164484000874637,8,0,True,higher_error
FT2,Cdl:x0.5,Cdl,global_amplitude_h2,8,1.0712035132254272e-06,5,3,False,unstable
FT2,Cdl:x0.5,Cdl,global_amplitude_h3,8,-8.178401983693906e-06,3,5,False,unstable
FT2,Cdl:x0.5,Cdl,global_phase_h1,8,-0.0004994345307511305,3,5,False,unstable
FT2,Cdl:x0.5,Cdl,global_phase_h2,8,-0.008681436291883449,3,5,False,unstable
FT2,Cdl:x0.5,Cdl,global_phase_h3,8,0.016862830958833785,8,0,True,higher_error
FT2,Cdl:x0.5,Cdl,lockin_amplitude_h1,8,0.0433336686247604,8,0,True,higher_error
FT2,Cdl:x0.5,Cdl,lockin_amplitude_h2,8,-9.487737722135847e-07,3,5,False,unstable
FT2,Cdl:x0.5,Cdl,lockin_amplitude_h3,8,-2.9910969983337754e-06,2,6,True,lower_error
FT2,Cdl:x0.5,Cdl,lockin_peak_shift_h1,8,0.0,0,0,False,unstable
FT2,Cdl:x0.5,Cdl,lockin_peak_shift_h2,8,0.0,0,0,False,unstable
FT2,Cdl:x0.5,Cdl,lockin_peak_shift_h3,8,0.0,0,0,False,unstable
FT2,Cdl:x0.5,Cdl,lockin_phase_h1,8,0.0013444135028415072,5,3,False,unstable
FT2,Cdl:x0.5,Cdl,lockin_phase_h2,8,0.004701793676434529,6,2,True,higher_error
FT2,Cdl:x0.5,Cdl,lockin_phase_h3,8,0.01641639287411556,8,0,True,higher_error
FT2,Cdl:x0.5,Cdl,lockin_valid_fraction,8,0.0,0,0,False,unstable
FT2,Cdl:x0.5,Cdl,score,8,0.1556355028038663,8,0,True,higher_error
FT2,Cdl:x2,Cdl,dc_nrmse,8,-0.0007383168413933605,1,7,True,lower_error
FT2,Cdl:x2,Cdl,global_amplitude_h1,8,-0.12483195852281442,0,8,True,lower_error
FT2,Cdl:x2,Cdl,global_amplitude_h2,8,9.588554570338914e-07,4,4,False,unstable
FT2,Cdl:x2,Cdl,global_amplitude_h3,8,2.8033553585549154e-05,7,1,True,higher_error
FT2,Cdl:x2,Cdl,global_phase_h1,8,-0.003665752052018856,3,5,False,unstable
FT2,Cdl:x2,Cdl,global_phase_h2,8,0.022480642018773506,5,3,False,unstable
FT2,Cdl:x2,Cdl,global_phase_h3,8,-0.035967416097295035,0,8,True,lower_error
FT2,Cdl:x2,Cdl,lockin_amplitude_h1,8,-0.08618828668897471,0,8,True,lower_error
FT2,Cdl:x2,Cdl,lockin_amplitude_h2,8,9.409193926224191e-07,5,3,False,unstable
FT2,Cdl:x2,Cdl,lockin_amplitude_h3,8,2.6373089098696845e-07,4,4,False,unstable
FT2,Cdl:x2,Cdl,lockin_peak_shift_h1,8,0.0,0,1,False,unstable
FT2,Cdl:x2,Cdl,lockin_peak_shift_h2,8,0.0,0,0,False,unstable
FT2,Cdl:x2,Cdl,lockin_peak_shift_h3,8,0.0,0,0,False,unstable
FT2,Cdl:x2,Cdl,lockin_phase_h1,8,-0.005206780309502834,2,6,True,lower_error
