parameter,unit,value,harmper
E0_eff,0.0300,1.3635,0.0961691
E0_eff,0.0971,1.39371,0.0962192
E0_eff,0.1643,1.42393,0.0963938
E0_eff,0.2314,1.45414,0.0970843
E0_eff,0.2986,1.48436,0.0997212
E0_eff,0.3657,1.51457,0.104907
E0_eff,0.4329,1.54479,0.096021
E0_eff,0.5000,1.575,0.0373795
E0_eff,0.5671,1.60521,0.127669
E0_eff,0.6343,1.63543,0.340468
E0_eff,0.7014,1.66564,0.552608
E0_eff,0.7686,1.69586,0.569637
E0_eff,0.8357,1.72607,0.56964
E0_eff,0.9029,1.75629,0.569643
E0_eff,0.9700,1.7865,0.569632
log10_k0,0.0300,-0.85,0.333995
log10_k0,0.0971,-0.514286,0.157269
log10_k0,0.1643,-0.178571,0.0961652
log10_k0,0.2314,0.157143,0.096225
log10_k0,0.2986,0.492857,0.0965465
log10_k0,0.3657,0.828571,0.0984528
log10_k0,0.4329,1.16429,0.104705
log10_k0,0.5000,1.5,0.0484981
log10_k0,0.5671,1.83571,0.0348399
log10_k0,0.6343,2.17143,0.0452331
log10_k0,0.7014,2.50714,0.0483325
log10_k0,0.7686,2.84286,0.0490635
log10_k0,0.8357,3.17857,0.0492258
log10_k0,0.9029,3.51429,0.0492626
log10_k0,0.9700,3.85,0.0492715
log10_kf,0.0300,0.18,0.410948
log10_kf,0.0971,0.582857,0.401312
log10_kf,0.1643,0.985714,0.380381
log10_kf,0.2314,1.38857,0.247151
log10_kf,0.2986,1.79143,0.171568
log10_kf,0.3657,2.19429,0.0386998
log10_kf,0.4329,2.59714,0.0423054
log10_kf,0.5000,3,0.0480971
log10_kf,0.5671,3.40286,0.0490808
log10_kf,0.6343,3.80571,0.049241
log10_kf,0.7014,4.20857,0.0492681
log10_kf,0.7686,4.61143,0.0609884
log10_kf,0.8357,5.01429,0.19117
log10_kf,0.9029,5.41714,0.555331
log10_kf,0.9700,5.82,0.717102
log10_gamma,0.0300,-11.88,0.0863267
log10_gamma,0.0971,-11.6114,0.0492718
log10_gamma,0.1643,-11.3429,0.0492659
log10_gamma,0.2314,-11.0743,0.0492478
log10_gamma,0.2986,-10.8057,0.0491906
log10_gamma,0.3657,-10.5371,0.0490005
log10_gamma,0.4329,-10.2686,0.0483612
log10_gamma,0.5000,-10,0.0462429
log10_gamma,0.5671,-9.73143,0.0395141
log10_gamma,0.6343,-9.46286,0.0334571
log10_gamma,0.7014,-9.19429,0.12218
log10_gamma,0.7686,-8.92571,0.207097
log10_gamma,0.8357,-8.65714,0.291074
log10_gamma,0.9029,-8.38857,0.306855
log10_gamma,0.9700,-8.12,0.317587
