dataset,dc_nrmse,fail_reason,h2_amp_err,h2_live_fraction,h2_phase_err,h2_weak,h3_amp_err,h3_live_fraction,h3_peak_shift,h3_phase_err,h3_weak,h4_amp_err,h4_live_fraction,h4_phase_err,h4_weak,p_E0_eff,p_gamma,p_k0,p_kf,sample,status,total_nrmse,verdict
FT2,2.8527425248756244e-06,,1.0002589118384318e-05,0.7424001609496027,0.00013602014870262025,0,5.2574687144739046e-05,0.9389598631928378,0.0,0.002895234844945388,0,0.00015917312900833334,0.9941253395030681,0.006133002264051335,0,1.543963263463229,1.6361636440250487e-12,1179.885493471436,68940.84467035862,0,ok,2.1763906838176177e-05,PASS
FT3,3.2940108972411704e-06,,1.2524648465131733e-05,0.7657501710881205,0.0004647082160929017,0,5.2043806528617183e-05,0.9268145404774365,0.0,0.0022738418500439766,0,0.00021745936628205537,0.9761684312225756,0.00955265650886139,0,1.543963263463229,1.6361636440250487e-12,1179.885493471436,68940.84467035862,0,ok,3.9719852026125194e-05,PASS
FT4,2.798258263571678e-07,,4.015158297579908e-06,0.8476340312235265,0.00016047211136671624,0,2.3136691423653138e-05,0.9772883133647989,0.0,0.000923604804941025,0,8.960692484867548e-05,0.9960869740610755,0.002884646078547992,0,1.543963263463229,1.6361636440250487e-12,1179.885493471436,68940.84467035862,0,ok,1.0543768157348408e-06,PASS
FT8,3.6973739176652767e-06,,1.0460222807237837e-05,0.7978476701210233,0.00042055187218348333,0,4.3582668807839274e-05,0.950322487136749,0.0,0.0018373625882305983,0,0.0001505509046439362,0.9951445756938908,0.0042279493220380715,0,1.543963263463229,1.6361636440250487e-12,1179.885493471436,68940.84467035862,0,ok,3.07403124993402e-05,PASS
FT2,0.00011467512879955985,,0.00027345431362195324,0.7040941555175536,0.0021621902220388955,0,0.00044354599966551784,0.5794185695604064,0.0,0.006714707906149808,0,0.002580598136467604,0.8268987023438286,0.0878907816620662,0,1.6024668001569808,1.0983876583072028e-10,0.8446257054684543,11.833054781525563,1,ok,0.0004187086638443784,PASS
FT3,0.00010084863133056458,,0.00042386846184536977,0.83499053983334,0.014404348633165752,0,0.00047785022076434305,0.7401875930920655,0.0,0.016570878290215862,0,0.0017413594367998953,0.8898997624894328,0.096067185730075,0,1.6024668001569808,1.0983876583072028e-10,0.8446257054684543,11.833054781525563,1,ok,0.0008741466577837387,PASS
FT4,2.3311593280849427e-05,,0.0003007615219226055,0.6859494130461091,0.008200512786799896,0,0.0009293472728675003,0.8845859050385252,1.5249584872423227e-05,0.04835693896380833,0,0.0025079097887827956,0.9691395376981726,0.06857467090667013,0,1.6024668001569808,1.0983876583072028e-10,0.8446257054684543,11.833054781525563,1,ok,9.349364790545214e-05,PASS
FT8,7.991936581468671e-05,,0.00027079460593125866,0.7956011305167041,0.011177409586064615,0,0.0005066670643998117,0.6442495833031379,0.0,0.02459105958479313,0,0.001928112550531672,0.9225668526704833,0.08091922410464836,0,1.6024668001569808,1.0983876583072028e-10,0.8446257054684543,11.833054781525563,1,ok,0.0006053474192811854,PASS
FT2,1.5261953428334362e-05,,5.998449268900472e-05,0.4955839452771351,0.0008018282393309484,0,0.00012425793545024798,0.5489387385574892,0.0,0.004345693599206335,0,0.0006074568469642658,0.7392214062971532,0.020837382029866736,0,1.7246105908881875,1.312545578111123e-11,354.4932528278177,6057.606769530913,2,ok,8.528301987382668e-05,PASS
FT3,1.7750540894001742e-05,,7.77803634810331e-05,0.5205104464393543,0.002110794409006134,0,0.00016231159025054524,0.5816593534881849,0.0,0.008358259425875092,0,0.0006209544625973263,0.6657541966909545,0.03686350489107526,0,1.7246105908881875,1.312545578111123e-11,354.4932528278177,6057.606769530913,2,ok,0.0001544762527719806,PASS
FT4,4.493771924779243e-06,,4.482113969553462e-05,0.5344709346887733,0.001945388564741135,0,0.000131400098513277,0.7690507886562589,0.0,0.0062600852332237444,0,0.00045837637810420764,0.9593771430876599,0.02069693946479531,0,1.7246105908881875,1.312545578111123e-11,354.4932528278177,6057.606769530913,2,ok,1.0427003514088846e-05,PASS
FT8,1.9554211521575157e-05,,5.35312637773337e-05,0.5064497427349808,0.003252394668316505,0,0.00012672273120143052,0.6344300311616784,0.0,0.0055324415326832846,0,0.0007173781060986894,0.8756069280382637,0.015579917041484759,0,1.7246105908881875,1.312545578111123e-11,354.4932528278177,6057.606769530913,2,ok,0.00011904285392692219,PASS
FT2,2.7285466681819576e-06,,6.983533168775095e-05,1.0,8.107516980482288e-05,0,0.00021367621319160043,1.0,0.0,0.0002614496606885286,0,0.00048414214275486957,0.9264661502866914,0.0019389942613956546,0,1.4430218262132257,1.369179529443931e-09,2.8792043814732415,36.87454084291943,3,ok,2.146160008009211e-05,PASS
